Customer_ID	Last_Name	First_Name	Sex	Age	ZIP	Plan	Plan_Start_Date	Customer_Since	Salesman_EID
1000.0	Howard	Tommy	M	42	97199	Basic	2023-01-12	2008-01-13	70045
1001.0	Vásquez	Sean	M	28	97373	Platinum	2023-09-12	2009-11-23	367032
1002.0	Clark	Jayce	M	70	97147	Basic	2023-02-06	2021-02-09	362455
1003.0	Rodríguez	Aria	F	19	97410	Gold	2022-05-28	2011-03-10	821007
1004.0	Muñoz	Claude	M	33	97360	Basic	2023-05-30	2011-08-17	208762
1005.0	Reyes	Paige	F	49	97236	Gold	2022-06-19	2021-01-14	694786
1006.0	Ibarra	April	F	65	97132	Basic	2023-12-02	2008-03-31	431665
1007.0	Ramírez	Amber	F	30	97239	Platinum	2023-10-27	2010-07-05	790748
1008.0	Salinas	Edwin	M	26	97325	Basic	2023-01-08	2011-08-09	465913
1009.0	Martínez	Wilma	F	68	97169	Basic	2022-08-15	2008-07-17	363251
1010.0	Sanchez	Chris	M	67	97221	Gold	2022-06-22	2007-07-01	298919
1011.0	Herrera	Adalynn	F	42	97411	Basic	2023-10-15	2010-06-23	862600
1012.0	Nava	Marisa	F	35	97492	Gold	2023-12-15	2018-08-18	819746
1013.0	Méndez	Valentina	F	73	97169	Platinum	2023-09-27	2021-05-30	429810
1014.0	Torres	Arlene	F	37	97260	Basic	2023-03-20	2003-01-26	328170
1015.0	Rivas	Michele	F	66	97269	Gold	2022-04-04	2003-08-26	537039
1016.0	Baker	Rosemary	F	49	97412	Gold	2023-04-01	2018-02-15	633352
1017.0	Rangel	Freddie	M	40	97207	Basic	2023-08-21	2003-12-08	396732
1018.0	Sullivan	Kristy	F	34	97192	Gold	2023-11-21	2006-03-29	897100
1019.0	García	Emery	F	22	97285	Platinum	2022-08-03	2021-01-14	983675
1020.0	Mejía	Irene	F	60	97180	Gold	2023-08-01	2016-04-25	300648
1021.0	Torres	Lynda	F	63	97229	Gold	2023-09-06	2012-10-18	888174
1022.0	Valverde	Madelyn	F	58	97250	Basic	2022-04-04	2011-04-05	603458
1023.0	Zamora	Patti	F	40	97305	Basic	2023-10-18	2021-07-29	336151
1024.0	Estrada	Jenny	F	53	97145	Basic	2023-01-24	2008-01-17	992077
1025.0	Calderón	Joy	F	41	97464	Basic	2023-04-25	2013-10-04	658359
1026.0	Chávez	Abigail	F	64	97453	Basic	2023-04-15	2010-02-11	722655
1027.0	Rosales	Denise	F	67	97402	Basic	2023-03-26	2012-04-15	601325
1028.0	Díaz	Emerson	F	66	97289	Basic	2022-02-25	2013-02-13	730897
1029.0	Rosas	Lucas	M	24	97488	Gold	2023-01-21	2014-09-22	367032
1030.0	Herrera	Shawn	M	26	97391	Platinum	2023-08-24	2016-01-03	495252
1031.0	González	Sebastian	M	23	97306	Basic	2023-01-14	2004-09-10	658359
1032.0	Butler	Kiara	F	64	97225	Platinum	2022-04-15	2007-02-09	764504
1033.0	Escobar	Theresa	F	67	97392	Gold	2023-08-10	2003-07-22	624153
1034.0	Fuentes	Brayden	M	33	97325	Basic	2023-03-04	2015-12-07	363288
1035.0	Gagnon	Karen	F	73	97365	Platinum	2023-11-03	2018-04-21	992077
1036.0	Herrera	Declan	M	62	97363	Gold	2023-02-19	2018-05-08	790417
1037.0	Sandoval	Mila	F	67	97252	Basic	2023-09-18	2003-09-10	300648
1038.0	Zamora	Shaun	M	28	97144	Basic	2023-12-10	2008-02-02	9174
1039.0	Gómez	Dianne	F	68	97273	Basic	2023-01-29	2007-07-17	631479
1040.0	Rogers	Bobbie	F	62	97194	Gold	2023-04-15	2021-09-07	67854
1042.0	López	Bennie	M	27	97349	Obsidian	2022-07-19	2021-08-30	495730
1043.0	Wright	Ellie	F	23	97239	Gold	2023-11-23	2007-12-23	530520
1044.0	Young	Sam	M	42	97422	Gold	2022-10-23	2003-11-02	463644
1045.0	Torres	Jesse	M	67	97117	Basic	2023-07-06	2013-12-28	330899
1046.0	Sanders	Mercedes	F	23	97366	Basic	2023-02-09	2015-09-19	174298
1047.0	Gomez	Yvonne	F	31	97218	Platinum	2022-03-16	2007-07-11	590995
1048.0	Gagnon	Ellie	F	65	97128	Obsidian	2022-07-05	2007-10-08	531300
1049.0	Hernández	Louise	F	38	97252	Basic	2023-12-25	2003-07-13	634145
1050.0	Díaz	Hannah	F	40	97121	Platinum	2023-03-20	2009-03-18	111598
1051.0	Ross	Aubrey	F	52	97170	Basic	2023-11-13	2020-04-30	111825
1052.0	Ayala	Emmett	M	66	97356	Gold	2023-04-11	2006-10-05	595536
1053.0	Camacho	Dana	M	34	97159	Gold	2022-02-03	2013-09-12	468231
1054.0	Camacho	Dana	F	38	97325	Gold	2023-10-22	2016-09-16	44601
1055.0	Orellana	Joanne	F	60	97473	Platinum	2023-06-02	2022-07-06	166180
1056.0	Cruz	Marion	M	47	97493	Infinity	2023-08-29	2008-12-09	111825
1057.0	Cruz	Marion	F	22	97371	Platinum	2023-09-26	2020-05-28	68403
1058.0	Flores	Stella	F	70	97260	Basic	2023-07-21	2020-07-15	200187
1059.0	Díaz	Glen	M	67	97233	Basic	2023-01-28	2018-03-07	268644
1061.0	Myers	Mark	M	24	97177	Gold	2023-11-27	2019-03-20	533226
1062.0	Flores	Kellie	F	27	97121	Obsidian	2022-12-20	2015-02-23	403315
1063.0	Valencia	Anthony	M	67	97335	Gold	2023-08-10	2003-10-27	334441
1064.0	García	Caitlyn	F	59	97197	Basic	2023-09-08	2011-12-09	629585
1065.0	Domínguez	Dakota	M	35	97275	Basic	2023-04-23	2018-02-06	372983
1067.0	Romero	Carolyn	F	45	97312	Gold	2023-08-21	2015-03-23	593544
1069.0	Vásquez	Herbert	M	34	97133	Basic	2023-02-06	2022-04-30	959554
1070.0	Martin	Laila	F	55	97214	Gold	2023-09-02	2006-08-22	230437
1071.0	Sanchez	Marion	M	75	97170	Basic	2023-01-13	2020-11-04	591610
1072.0	Sanchez	Marion	F	33	97424	Gold	2023-02-11	2008-08-02	77273
1074.0	Hughes	Vernon	M	44	97294	Basic	2023-05-27	2023-03-18	336196
1075.0	Roberts	Jerry	M	60	97147	Basic	2023-07-25	2016-03-11	336196
