EID	Course_ID	Course_Name	Course_Hours	Course_Date	Last_Name	First_Name	Sex
4801	500	What Does this Button Do?	4.0	2012-03-07	Reyes	Violet	F
4801	400	Smart Phones and Dumb People: Know Your Audience	3.0	2011-02-17	Reyes	Violet	F
4801	700	Emotional Intelligence for Employees	3.0	2020-08-20	Reyes	Violet	F
4801	400	Smart Phones and Dumb People: Know Your Audience	3.0	2019-10-02	Reyes	Violet	F
4801	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2022-12-11	Reyes	Violet	F
4801	300	How to Sell Phone Warranties		2013-03-26	Reyes	Violet	F
4801	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points		2021-05-23	Reyes	Violet	F
4801	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2010-10-30	Reyes	Violet	F
4900	700	Emotional Intelligence for Employees	3.0	2019-12-30	Márquez	Ricky	M
4900	600	Emotional Intelligence for Managers	1.0	2011-03-18	Márquez	Ricky	M
4900	600	Emotional Intelligence for Managers	1.0	2020-10-08	Márquez	Ricky	M
4900	700	Emotional Intelligence for Employees	3.0	2010-09-05	Márquez	Ricky	M
4900	600	Emotional Intelligence for Managers	1.0		Márquez	Ricky	M
4900	200	Is 5G a myth? (And Other Questions You May Hear)	1.0		Márquez	Ricky	M
4920	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2022-01-23	Vargas	Joel	M
4920	700	Emotional Intelligence for Employees	3.0	2014-09-20	Vargas	Joel	M
4920	300	How to Sell Phone Warranties	3.0	2016-10-28	Vargas	Joel	M
4920	300	How to Sell Phone Warranties	3.0		Vargas	Joel	M
4920	400	Smart Phones and Dumb People: Know Your Audience	3.0		Vargas	Joel	M
4920	700	Emotional Intelligence for Employees	3.0	2012-01-20	Vargas	Joel	M
4920	500	What Does this Button Do?	4.0	2015-04-19	Vargas	Joel	M
4920	500	What Does this Button Do?	4.0	2021-08-26	Vargas	Joel	M
